Podsumowanie:
54  Wojtek
44  Marcin_FBI
39  drab111
35  JakubPaczek
26  Marcin
3  FBI223
3  Wiktor
3  fidren



Logi z GitHub:

3f7c12b Wojtek Refaktoryzacja kodu ExportSelectedSets  2024-05-31 21:48:57 +0200
c4d049f Wojtek Refaktoryzacja kodu EditSetMenu  2024-05-31 21:45:10 +0200
3ceeaf8 Wojtek Refaktoryzacja kodu EditFlashCardMenu  2024-05-31 21:33:31 +0200
d1e38cf Wojtek przyjecie bazy danych z githuba  2024-05-31 21:06:23 +0200
1e48a2f Wojtek Przed pullem  2024-05-31 21:02:33 +0200
25f5501 Marcin_FBI v106 wycentrowany tekst w przyciskach w drag and drop ( std biblioteka TK a nie TTK )  2024-05-31 20:11:14 +0200
e7b06c8 Marcin_FBI v105 drag and drop show_answer bylo zle wczesniej ???? tsoo?  2024-05-31 20:04:44 +0200
25ae13d drab111 v104  2024-05-31 19:34:22 +0200
b2c0c2a drab111 Delete flash_mind_v1/DragDropMenu_marcin_wiktor.py  2024-05-31 19:31:22 +0200
15ca733 Marcin v103.1 drag n drop zegar fix  2024-05-31 17:03:53 +0200
af5a3fa Marcin v103 timer plus interfejsy fixes  2024-05-31 16:04:04 +0200
429a1bb Wojtek Poprawa drag&drop  2024-05-31 14:20:28 +0200
494c969 Wojtek Rozwiązanie konfliktu  2024-05-31 12:50:55 +0200
8571d86 Wojtek Zmiany przed pull  2024-05-31 12:47:51 +0200
2a80cc1 Marcin_FBI v102 usuniecie exe plikow i mala zmiana w notifications  2024-05-31 10:49:26 +0200
5f82834 drab111 poprawka  (origin/test) 2024-05-30 23:07:13 +0200
7c4ef3d drab111 poprawka  2024-05-30 23:06:24 +0200
c5fd055 drab111 profilemenu poprawione  2024-05-30 22:33:52 +0200
0f34a62 drab111 profilemenu poprawione  2024-05-30 22:33:20 +0200
96e5c75 drab111 Delete ProfileMenu.py  2024-05-30 22:03:43 +0200
c3a3f9d drab111 Add files via upload  2024-05-30 22:01:17 +0200
7caa73a drab111 poprawka  2024-05-30 21:57:59 +0200
2f22cd4 drab111 poprawka  2024-05-30 21:57:18 +0200
948c7a3 Wojtek Resolved merge conflict by keeping remote version of fiszki.db  2024-05-30 19:25:37 +0200
8e0e4b9 Wojtek Przed pull  2024-05-30 19:20:34 +0200
ee7ba0b Marcin_FBI v100 final exe_folder jest dla klienta  2024-05-30 18:52:04 +0200
84c9bda Marcin_FBI v100 final  2024-05-30 18:48:50 +0200
9125217 Marcin Merge pull request #1 from fidren/separated  2024-05-30 18:44:48 +0200
1259052 Marcin_FBI v0  2024-05-30 18:37:19 +0200
ca76587 Marcin_FBI v2  (origin/separated, separated) 2024-05-30 18:25:00 +0200
8cea615 Marcin_FBI v1  2024-05-30 18:23:30 +0200
a92d6e9 Marcin_FBI v42  (test) 2024-05-30 18:08:20 +0200
72fa656 Marcin Delete .gitignore  2024-05-30 18:03:59 +0200
a5f04de Marcin Delete notifications.py  2024-05-30 18:03:39 +0200
a063a27 Marcin Delete main.py  2024-05-30 18:03:32 +0200
8bbb475 Marcin Delete notification_with_click.py  2024-05-30 18:03:22 +0200
65c3671 Marcin Delete reminder.py  2024-05-30 18:03:13 +0200
4b0e296 Marcin Delete fiszki.db  2024-05-30 18:02:30 +0200
7cfb44b Marcin Delete images directory  2024-05-30 18:02:06 +0200
2b5dff3 Marcin_FBI v0  2024-05-30 18:00:09 +0200
0cabd7e drab111 v42 poprawki  2024-05-30 15:12:20 +0200
35f26b5 Marcin_FBI v41 notification fixes  2024-05-30 13:48:05 +0200
27dc9f5 Marcin_FBI Merge remote-tracking branch 'origin/test' into test  2024-05-30 13:22:09 +0200
9b76906 Marcin_FBI v40 notification obrazki  2024-05-30 13:21:47 +0200
efa6af7 Marcin Delete main.exe  2024-05-30 13:19:17 +0200
56283af Marcin Delete notifications.exe  2024-05-30 13:18:54 +0200
05129c7 Marcin Delete settings.png  2024-05-30 13:18:40 +0200
b9521af Marcin Delete reminder.exe  2024-05-30 13:18:27 +0200
eac5dca Marcin Delete study.png  2024-05-30 13:18:14 +0200
96a1b19 Marcin Delete profile.png  2024-05-30 13:18:03 +0200
216ec0e Marcin Delete fiszki2.db  2024-05-30 13:17:45 +0200
100b7a6 Marcin logo aplikacji png added  2024-05-30 13:17:28 +0200
4c70426 Marcin Delete obraz2.png  2024-05-30 13:16:53 +0200
c8009d5 Marcin Delete icon2.ico  2024-05-30 13:15:59 +0200
12b90e8 Marcin Delete fiszki_back_up.db  2024-05-30 13:15:51 +0200
afa606d Marcin Delete edit_flashcard.png  2024-05-30 13:15:38 +0200
c43454c Marcin Delete edit.png  2024-05-30 13:15:26 +0200
3c60a96 Marcin_FBI v39 dzielenie plikow do folderow / porzadki  2024-05-30 13:14:37 +0200
ea586bc Marcin_FBI v37.1 notification dziala , wazne aby plik exe byl w glownym folderze  2024-05-30 12:01:59 +0200
a4ec3cb Marcin_FBI v37 notification dziala , wazne aby plik exe byl w glownym folderze  2024-05-30 03:48:50 +0200
18139eb Marcin_FBI v37 notification.py all in one notifications , przerobic na exe i ustawic skrypt powershell do urtuchamiania podczas startu win  2024-05-30 02:27:58 +0200
eab9d87 Marcin_FBI Merge remote-tracking branch 'origin/test' into test  2024-05-30 02:26:43 +0200
fccfb9d Marcin_FBI v36 dodanie export do json  2024-05-30 02:26:17 +0200
ab05970 drab111 v36 nowa baza danych  2024-05-30 02:24:59 +0200
3f2c69d Marcin_FBI v35.2 fiszki db update  2024-05-30 01:26:12 +0200
a919198 Marcin_FBI v35, dodana flaga w bazie danycg , usuniety pezycisk reset all  2024-05-29 18:53:00 +0200
5820559 Wojtek Zmiany w wyglądzie przycisków  2024-05-29 17:00:20 +0200
3425a32 Wojtek Zmiany w wyglądzie  2024-05-29 16:58:49 +0200
77f8821 Marcin_FBI v34.1  2024-05-29 15:35:39 +0200
90f21a2 Marcin_FBI v34, dzialajacy back-up oraz restore  2024-05-29 15:32:10 +0200
3053fbb Wojtek Zmiany w kodzi po pull  2024-05-29 13:59:29 +0200
a13fc0a Wojtek Dodanie obrazków do przycisków w menu głównym  2024-05-29 13:57:15 +0200
f121c36 drab111 v33 poprawa importu  2024-05-29 13:39:03 +0200
e9c7a91 Wojtek Commit przed pull  2024-05-29 12:18:13 +0200
35c0439 FBI223 v33 , dodany primary key w Zbiory  2024-05-29 11:30:27 +0200
4738a2b drab111 v32.1 import  2024-05-29 03:59:02 +0200
297a6e1 drab111 v32 eksport  2024-05-29 03:56:52 +0200
309d2f7 Wiktor Merge branch 'test' of https://github.com/fidren/flashmind into test  2024-05-29 00:00:16 +0200
f9c0826 Wiktor v31.1  2024-05-28 23:58:59 +0200
ff4c562 drab111 v31 eksport bazy danych  2024-05-28 23:52:51 +0200
e76f81f Wiktor v31 eksport danych  2024-05-28 23:49:58 +0200
ef4425c drab111 Add files via upload  2024-05-28 20:20:04 +0200
b564d38 drab111 Delete icon.ico  2024-05-28 20:19:28 +0200
9e3aeb6 drab111 Delete obraz.png  2024-05-28 20:19:15 +0200
